Provincia,Precio
A Coruña,36134.087845968716
Alava,28100.206896551725
Albacete,35513.36852589642
Alicante,37666.50163132137
Almeria,36060.45497630332
Asturias,37016.76190476191
Avila,28616.5
Badajoz,37348.58415841584
Barcelona,35882.61617789236
Bizkaia,38166.90147058824
Burgos,31172.619909502264
Caceres,34801.63636363636
Cadiz,31478.464788732395
Cantabria,35978.18686868687
Castellon,33626.39455782313
Ciudad Real,37222.46419098143
Cordoba,35028.74051896208
Cuenca,32425.615384615383
Gipuzkoa,33878.02205882353
Girona,33197.09659090909
Granada,37260.06425702811
Guadalajara,34150.0
Huelva,49771.71428571428
Huesca,34125.0
Illes Balears,29617.55238095238
Jaen,40207.44859813084
La Rioja,38177.5
Leon,30253.565891472866
Lleida,39352.41509433962
Lugo,31514.038626609443
Madrid,36179.98424310636
Malaga,37971.75277435265
Murcia,37869.38205365402
Navarra,33667.986767485825
Ourense,39100.470588235294
Palencia,26059.46153846154
Pontevedra,35788.791291291294
Salamanca,32019.722222222223
Segovia,46022.5
Sevilla,34333.56956521739
Soria,28526.666666666668
Tarragona,34402.34054054054
Teruel,25829.0
Toledo,36085.00657894737
Valencia,34932.39844683393
Valladolid,34933.83653846154
Zamora,41017.260273972606
Zaragoza,33962.403174603176
